"TITLE","DOI","PUBDATE","ENTREZUID","ABSTRACT"
"Cost-effectiveness and resource implications of aggressive action on tuberculosis in China, India, and South Africa: a combined analysis of nine models.","10.1016/S2214-109X(16)30265-0","2016 Nov","27720689","The post-2015 End TB Strategy sets global targets of reducing tuberculosis incidence by 50% and mortality by 75% by 2025. We aimed to assess resource requirements and cost-effectiveness of strategies to achieve these targets in China, India, and South Africa.We examined intervention scenarios developed in consultation with country stakeholders, which scaled up existing interventions to high but feasible coverage by 2025. Nine independent modelling groups collaborated to estimate policy outcomes, and we estimated the cost of each scenario by synthesising service use estimates, empirical cost data, and expert opinion on implementation strategies. We estimated health effects (ie, disability-adjusted life-years averted) and resource implications for 2016-35, including patient-incurred costs. To assess resource requirements and cost-effectiveness, we compared scenarios with a base case representing continued current practice.Incremental tuberculosis service costs differed by scenario and country, and in some cases they more than doubled existing funding needs. In general, expansion of tuberculosis services substantially reduced patient-incurred costs and, in India and China, produced net cost savings for most interventions under a societal perspective. In all three countries, expansion of access to care produced substantial health gains. Compared with current practice and conventional cost-effectiveness thresholds, most intervention approaches seemed highly cost-effective.Expansion of tuberculosis services seems cost-effective for high-burden countries and could generate substantial health and economic benefits for patients, although substantial new funding would be required. Further work to determine the optimal intervention mix for each country is necessary.Bill & Melinda Gates Foundation.Copyright © 2016 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY license. Published by Elsevier Ltd.. All rights reserved."
"Feasibility of achieving the 2025 WHO global tuberculosis targets in South Africa, China, and India: a combined analysis of 11 mathematical models.","10.1016/S2214-109X(16)30199-1","2016 Nov","27720688","The post-2015 End TB Strategy proposes targets of 50% reduction in tuberculosis incidence and 75% reduction in mortality from tuberculosis by 2025. We aimed to assess whether these targets are feasible in three high-burden countries with contrasting epidemiology and previous programmatic achievements.11 independently developed mathematical models of tuberculosis transmission projected the epidemiological impact of currently available tuberculosis interventions for prevention, diagnosis, and treatment in China, India, and South Africa. Models were calibrated with data on tuberculosis incidence and mortality in 2012. Representatives from national tuberculosis programmes and the advocacy community provided distinct country-specific intervention scenarios, which included screening for symptoms, active case finding, and preventive therapy.Aggressive scale-up of any single intervention scenario could not achieve the post-2015 End TB Strategy targets in any country. However, the models projected that, in the South Africa national tuberculosis programme scenario, a combination of continuous isoniazid preventive therapy for individuals on antiretroviral therapy, expanded facility-based screening for symptoms of tuberculosis at health centres, and improved tuberculosis care could achieve a 55% reduction in incidence (range 31-62%) and a 72% reduction in mortality (range 64-82%) compared with 2015 levels. For India, and particularly for China, full scale-up of all interventions in tuberculosis-programme performance fell short of the 2025 targets, despite preventing a cumulative 3·4 million cases. The advocacy scenarios illustrated the high impact of detecting and treating latent tuberculosis.Major reductions in tuberculosis burden seem possible with current interventions. However, additional interventions, adapted to country-specific tuberculosis epidemiology and health systems, are needed to reach the post-2015 End TB Strategy targets at country level.Bill and Melinda Gates Foundation.Copyright © 2016 The Author(s). Published by Elsevier Ltd. This is an Open Access article under the CC BY license. Published by Elsevier Ltd.. All rights reserved."
"Tuberculosis screening and efficacy of prophylaxis in contacts of patients with pulmonary tuberculosis.","10.5578/tt.9167","2016 Mar","27266282","To evaluate tuberculosis screening and efficacy of prophylaxis in contacts of patients with pulmonary tuberculosis.A total of 7453 contacts of 1909 patients with pulmonary tuberculosis treated at four tuberculosis dispensaries located in Istanbul, between 2005 and 2009 were included in this retrospective screening-based study. Data on demographics, smear positivity, PPD positivity, rate and onset of secondary tuberculosis and prophylaxis were recorded in contacts.Overall 184 (2.5%) secondary cases of tuberculosis were identified within a mean 2.9 (1-5) years of follow-up. The rate for secondary tuberculosis was 3.1% (163/5335) in smear positive and 1.0% (20/2118) in smear negative contacts. With and without prophylaxis rates for secondary tuberculosis after 6 months of index case was identified in 0.7% (6/912) and 2.0% (9/455) of contacts aged 0-15 years, in 0.9% (3/339) and 2.8% (51/1826) of contacts aged 16-35 years and in 0% (0/215) and 0.9% (14/1507) of contacts aged ≥ 36 years, respectively.In conclusion, our findings indicate high risk of being infected and diseased in smear positive contacts along with efficacy of prophylactic therapy among contacts not only in the childhood but also in adults, particularly in contacts aged 16-35 years."
"Seasonality and Trend Forecasting of Tuberculosis Prevalence Data in Eastern Cape, South Africa, Using a Hybrid Model.","10.3390/ijerph13080757","2016 Jul 26","27472353","Tuberculosis (TB) is a deadly infectious disease caused by Mycobacteria tuberculosis. Tuberculosis as a chronic and highly infectious disease is prevalent in almost every part of the globe. More than 95% of TB mortality occurs in low/middle income countries. In 2014, approximately 10 million people were diagnosed with active TB and two million died from the disease. In this study, our aim is to compare the predictive powers of the seasonal autoregressive integrated moving average (SARIMA) and neural network auto-regression (SARIMA-NNAR) models of TB incidence and analyse its seasonality in South Africa.TB incidence cases data from January 2010 to December 2015 were extracted from the Eastern Cape Health facility report of the electronic Tuberculosis Register (ERT.Net). A SARIMA model and a combined model of SARIMA model and a neural network auto-regression (SARIMA-NNAR) model were used in analysing and predicting the TB data from 2010 to 2015. Simulation performance parameters of mean square error (MSE), root mean square error (RMSE), mean absolute error (MAE), mean percent error (MPE), mean absolute scaled error (MASE) and mean absolute percentage error (MAPE) were applied to assess the better performance of prediction between the models.Though practically, both models could predict TB incidence, the combined model displayed better performance. For the combined model, the Akaike information criterion (AIC), second-order AIC (AICc) and Bayesian information criterion (BIC) are 288.56, 308.31 and 299.09 respectively, which were lower than the SARIMA model with corresponding values of 329.02, 327.20 and 341.99, respectively. The seasonality trend of TB incidence was forecast to have a slightly increased seasonal TB incidence trend from the SARIMA-NNAR model compared to the single model.The combined model indicated a better TB incidence forecasting with a lower AICc. The model also indicates the need for resolute intervention to reduce infectious disease transmission with co-infection with HIV and other concomitant diseases, and also at festival peak periods."
"The global tuberculosis situation and the inexorable rise of drug-resistant disease.","10.1016/j.addr.2016.01.021","2016 Jul 1","26855302","The highly cost-effective DOTS strategy helped to bring the global tuberculosis (TB) epidemic under control in many parts of the world; however, the emergence and spread of drug-resistant strains pose a major threat to these gains. Molecular epidemiology studies, together with recent genomic evidence, provide proof that some drug-resistant strains are highly transmissible with documented epidemic spread. The potential for epidemic replacement of drug-susceptible with drug-resistant strains provides strong motivation for renewed emphasis on TB drug and vaccine development. It also reflects the need for enhanced infection control measures in health care and congregate settings, especially in TB endemic areas. The exploration of preventive therapy options for close contacts of patients with infectious drug-resistant TB also warrants further exploration, in an attempt to break the transmission cycle. Increased population mobility and large scale cross-border migration imply that the inexorable rise of drug-resistant TB is not geographically confined; it is a global concern that poses a very real threat to TB endemic and non-endemic settings. Failure to find new solutions will compromise traditional TB control efforts and derail momentum toward future TB elimination.Copyright © 2016 Elsevier B.V. All rights reserved."
"Digital health for the End TB Strategy: developing priority products and making them work.","10.1183/13993003.00424-2016","2016 Jul","27230443","In 2014, the World Health Organization (WHO) developed the End TB Strategy in response to a World Health Assembly Resolution requesting Member States to end the worldwide epidemic of tuberculosis (TB) by 2035. For the strategy's objectives to be realised, the next 20 years will need novel solutions to address the challenges posed by TB to health professionals, and to affected people and communities. Information and communication technology presents opportunities for innovative approaches to support TB efforts in patient care, surveillance, programme management and electronic learning. The effective application of digital health products at a large scale and their continued development need the engagement of TB patients and their caregivers, innovators, funders, policy-makers, advocacy groups, and affected communities.In April 2015, WHO established its Global Task Force on Digital Health for TB to advocate and support the development of digital health innovations in global efforts to improve TB care and prevention. We outline the group's approach to stewarding this process in alignment with the three pillars of the End TB Strategy. The supplementary material of this article includes target product profiles, as developed by early 2016, defining nine priority digital health concepts and products that are strategically positioned to enhance TB action at the country level.The content of this work is ©the authors or their employers. Design and branding are ©ERS 2016."
"CKD and Infectious Diseases in Asia Pacific: Challenges and Opportunities.","10.1053/j.ajkd.2016.01.017","2016 Jul","26943982","The exact number of patients with chronic kidney disease (CKD) in Asia Pacific is uncertain. In numeric terms, the region is home to the largest population of patients with untreated chronic kidney failure. The climatic, geographic, social, cultural, economic, and environmental diversity within this region is higher than in any other part of the world. Large parts of the region face a climate-related burden of infectious diseases. Infections contribute to the development and progression of CKD and complicate the course of patients with pre-existing CKD (especially those on dialysis therapy or who are immunosuppressed), increase the cost of CKD care, and contribute to mortality and morbidity. Kidney involvement is a feature of several infectious diseases prevalent in Asia Pacific. Examples include malaria, leptospirosis, scrub typhus, tuberculosis, hepatitis B and C virus, dengue hemorrhagic fever, and Hantaan virus infections. The contribution of infection-associated acute kidney injury to the overall burden of CKD has not been evaluated systematically. Research is needed to quantify the impact of infections on kidney health by undertaking prospective studies. Nephrologists need to work with infectious disease research groups and government infection surveillance and control programs. Copyright © 2016 National Kidney Foundation, Inc. Published by Elsevier Inc. All rights reserved."
"ClassTR: Classifying Within-Host Heterogeneity Based on Tandem Repeats with Application to Mycobacterium tuberculosis Infections.","10.1371/journal.pcbi.1004475","2016 Feb","26829497","Genomic tools have revealed genetically diverse pathogens within some hosts. Within-host pathogen diversity, which we refer to as ""complex infection"", is increasingly recognized as a determinant of treatment outcome for infections like tuberculosis. Complex infection arises through two mechanisms: within-host mutation (which results in clonal heterogeneity) and reinfection (which results in mixed infections). Estimates of the frequency of within-host mutation and reinfection in populations are critical for understanding the natural history of disease. These estimates influence projections of disease trends and effects of interventions. The genotyping technique MLVA (multiple loci variable-number tandem repeats analysis) can identify complex infections, but the current method to distinguish clonal heterogeneity from mixed infections is based on a rather simple rule. Here we describe ClassTR, a method which leverages MLVA information from isolates collected in a population to distinguish mixed infections from clonal heterogeneity. We formulate the resolution of complex infections into their constituent strains as an optimization problem, and show its NP-completeness. We solve it efficiently by using mixed integer linear programming and graph decomposition. Once the complex infections are resolved into their constituent strains, ClassTR probabilistically classifies isolates as clonally heterogeneous or mixed by using a model of tandem repeat evolution. We first compare ClassTR with the standard rule-based classification on 100 simulated datasets. ClassTR outperforms the standard method, improving classification accuracy from 48% to 80%. We then apply ClassTR to a sample of 436 strains collected from tuberculosis patients in a South African community, of which 92 had complex infections. We find that ClassTR assigns an alternate classification to 18 of the 92 complex infections, suggesting important differences in practice. By explicitly modeling tandem repeat evolution, ClassTR helps to improve our understanding of the mechanisms driving within-host diversity of pathogens like Mycobacterium tuberculosis. "
"Forecasting Cause-Specific Mortality in Korea up to Year 2032.","10.3346/jkms.2016.31.8.1181","2016 Aug","27478326","Forecasting cause-specific mortality can help estimate the future burden of diseases and provide a clue for preventing diseases. Our objective was to forecast the mortality for causes of death in the future (2013-2032) based on the past trends (1983-2012) in Korea. The death data consisted of 12 major causes of death from 1983 to 2012 and the population data consisted of the observed and estimated populations (1983-2032) in Korea. The modified age-period-cohort model with an R-based program, nordpred software, was used to forecast future mortality. Although the age-standardized rates for the world standard population for both sexes are expected to decrease from 2008-2012 to 2028-2032 (males: -31.4%, females: -32.3%), the crude rates are expected to increase (males: 46.3%, females: 33.4%). The total number of deaths is also estimated to increase (males: 52.7%, females: 41.9%). Additionally, the largest contribution to the overall change in deaths was the change in the age structures. Several causes of death are projected to increase in both sexes (cancer, suicide, heart diseases, pneumonia and Alzheimer's disease), while others are projected to decrease (cerebrovascular diseases, liver diseases, diabetes mellitus, traffic accidents, chronic lower respiratory diseases, and pulmonary tuberculosis). Cancer is expected to be the highest cause of death for both the 2008-2012 and 2028-2032 time periods in Korea. To reduce the disease burden, projections of the future cause-specific mortality should be used as fundamental data for developing public health policies. "
"Connectivity of diagnostic technologies: improving surveillance and accelerating tuberculosis elimination.","10.5588/ijtld.16.0015","2016 Aug","27393530","In regard to tuberculosis (TB) and other major global epidemics, the use of new diagnostic tests is increasing dramatically, including in resource-limited countries. Although there has never been as much digital information generated, this data source has not been exploited to its full potential. In this opinion paper, we discuss lessons learned from the global scale-up of these laboratory devices and the pathway to tapping the potential of laboratory-generated information in the field of TB by using connectivity. Responding to the demand for connectivity, innovative third-party players have proposed solutions that have been widely adopted by field users of the Xpert(®) MTB/RIF assay. The experience associated with the utilisation of these systems, which facilitate the monitoring of wide laboratory networks, stressed the need for a more global and comprehensive approach to diagnostic connectivity. In addition to facilitating the reporting of test results, the mobility of digital information allows the sharing of information generated in programme settings. When they become easily accessible, these data can be used to improve patient care, disease surveillance and drug discovery. They should therefore be considered as a public health good. We list several examples of concrete initiatives that should allow data sources to be combined to improve the understanding of the epidemic, support the operational response and, finally, accelerate TB elimination. With the many opportunities that the pooling of data associated with the TB epidemic can provide, pooling of this information at an international level has become an absolute priority."
"Health state of adolescents in the Republic Sakha (Yakutia).",NA,"2016","27164279","According to the state policy in the field of health care, one of the priority directions is the improving of medical care for children's population [1]. It should be noted, that the state of health of the population and the development of society as a whole is largely determined by the level of adolescents health who have a significant impact on the health of the nation as a whole, and form the cultural, intellectual, industrial and reproductive potential [2, 3].This article analyzes the health status indicators of adolescent population of the Republic Sakha (Yakutia), including the dynamics of the disease, including socially conditioned diseases, disability and mortality among the teenage population.To study of health status of adolescents, social condition of life and there dynamic we use statistic materials of Yakut Republican Medical informative-analytic center, carry out medical prophylactic examination and survey research of 748 adolescents in 7 districts of republic, using questionnaires Global epidemic surveillance system health status of schoolchildren with support from WHO / UNAIDS / UNICEF / UNESCOCO.Established negative trend of deceasing of adolescent population, the increase in performance of both primary and general morbidity. Out of the total incidence of first place ranking among teenagers occupied by respiratory diseases, diseases of the eye and diseases of the digestive system. The most intensive increased prevalence of neurological diseases, cardiovascular system diseases, injuries and poisoning, and others external causes. Over the years remain unstable indicators of socio-caused diseases (alcoholism, drug addiction, tuberculosis, sexually transmitted infections). Despite the positive dynamics of some socially constructed and socially significant diseases, the relevance of this problem persists. Analysis of the dynamics of disability among children and adolescents showed a reduction in performance. In the structure of disability dominate diseases of the nervous system and sensory organs, congenital malformations and mental illness. Among the main causes of deaths in adolescence are external causes, there is no downward trend. There were significant gender differences, the increase in mortality associated with substance use among children died prevail children Yakut nationality.These results let us to plan and conduct the prophylactic work to decrease the pathology level among adolescents, and also to detect the need in medical staff and other resources."
"Epidemiology of tuberculosis in children in Kampala district, Uganda, 2009-2010; a retrospective cross-sectional study.","10.1186/s12889-015-2312-2","2015 Sep 25","26407719","The global tuberculosis (TB) estimate in 2011 was 500,000 cases among children under 15 years representing 5.7 % of all cases and 64, 000 deaths among HIV negative children representing 6.5 % of the total deaths. In Uganda, the child TB cases reported in 2012 made up less than 3 % of the total cases while recent modelling estimates it at 15-20 % of adult cases. Mapping of these cases in Kampala district most especially for the children under five years would reflect recent transmission in the various communities in the district. We therefore conducted a retrospective study of reported child TB cases in Kampala district Uganda for 2009-2010 to provide an estimate of child TB incidence and map the cases.This was a retrospective cross-sectional study on data collected from the health unit TB registers in the five divisions of Kampala district, Uganda. The data was a starting point in preparation for a TB Vaccine study in children. The extracted data spanned a period from 1st January 2009 to 31st December 2010. The projected population of children below 15 years was 637,922 in 2009 and 744,750 in 2010 for Kampala district. We based our projections on the National Bureau of Statistics most recent census report of 2002 before the study duration while assuming a population growth rate of 3.7 % each year. We captured the data into EPI DATA 3.1 and analysed it using STATA version 12.We accessed 15,499 records and analysed 1167 records that were of children below 15 years old. The child TB cases represented 7.5 % (7.3 in 2009 & 7.6 % in 2010) of all the registered cases in Kampala district. The females were 47 % and the median age was 4 years (IQR 1, 10). The percent of children less than 5 years old was 54 %. The percent of pulmonary TB cases was 89 % (1041/1167) with 15 % smear positive. The proportion of extra-pulmonary TB cases was 11 % (126/1167). Among those that tested for HIV, 60 % (359/620) had test results available with an HIV co-infection rate of 47 % (168/359). Antiretroviral treatment uptake was 24 % among the co-infected. The incidence of child TB in Kampala was 56 (95 % CI 50-62) per 100,000 in 2009 and 44 (95 % CI 40-49) per 100,000 in 2010. Most of the TB cases (60 % (410/685)) in Kampala live in slum areas.There was a higher child TB incidence of 56 per 100,000 in 2009 compared with 44 per 100,000 in 2010. The percentage of child TB cases was much higher at 7.5 % of all the reported TB cases than the WHO reported national average. For the review period, the TB cases clustered in particular slums in Kampala district."
"The Distribution of Fitness Costs of Resistance-Conferring Mutations Is a Key Determinant for the Future Burden of Drug-Resistant Tuberculosis: A Model-Based Analysis.","10.1093/cid/civ579","2015 Oct 15","26409276","Drug resistance poses a serious challenge for the control of tuberculosis in many settings. It is well established that the expected future trend in resistance depends on the reproductive fitness of drug-resistant Mycobacterium tuberculosis. However, the variability in fitness between strains with different resistance-conferring mutations has been largely ignored when making these predictions.We developed a novel approach for incorporating the variable fitness costs of drug resistance-conferring mutations and for tracking this distribution of fitness costs over time within a transmission model. We used this approach to describe the effects of realistic fitness cost distributions on the future prevalence of drug-resistant tuberculosis.The shape of the distribution of fitness costs was a strong predictor of the long-term prevalence of resistance. While, as expected, lower average fitness costs of drug resistance-conferring mutations were associated with more severe epidemics of drug-resistant tuberculosis, fitness distributions with greater variance also led to higher levels of drug resistance. For example, compared to simulations in which the fitness cost of resistance was fixed, introducing a realistic amount of variance resulted in a 40% increase in prevalence of drug-resistant tuberculosis after 20 years.The differences in the fitness costs associated with drug resistance-conferring mutations are a key determinant of the future burden of drug-resistant tuberculosis. Future studies that can better establish the range of fitness costs associated with drug resistance-conferring mutations will improve projections and thus facilitate better public health planning efforts.© The Author 2015. Published by Oxford University Press on behalf of the Infectious Diseases Society of America. All rights reserved. For Permissions, please e-mail: journals.permissions@oup.com."
"WHO's End TB Strategy: From stopping to ending the global TB epidemic.","10.1016/j.ijtb.2015.11.001","2015 Oct","26970458","The 67th World Health Assembly of 2014 adopted the ""End TB Strategy"" with a vision of making the world free of tuberculosis (TB) and with the goal of ending the global TB epidemic by the year 2035. World Health Organization's ""End TB Strategy"" captures this holistic response in its four principles and three pillars. The three high-level indicators of the ""End TB Strategy"" - reductions in TB deaths, reductions in the TB incidence rate and the percentage of TB patients and their households experiencing catastrophic costs - are relevant to all countries. Copyright © 2016. Published by Elsevier B.V."
"Effect of meteorological factors on incidence of tuberculosis: A 15-year retrospective study based on Chinese medicine theory of five circuits and six qi.","10.1007/s11655-015-2319-7","2015 Oct","26525546","To analyze the correlations between the incidence of tuberculosis and meteorological factors over the same period and previous periods including 1, 2 and 3 years ago, defined according to the Chinese medicine theory of five circuits (Wu Yun) and six qi, to establish medical-meteorological forecast models for the Beijing area of China.Data regarding the incidence of tuberculosis between 1990 and 2004 were obtained from the Beijing Center for Disease Control and Prevention, and the data regarding the meteorological factors (including daily average temperatures, wind speeds, precipitations, relative humidities, vapor pressures and low cloud covers) between 1987 and 2004 were collected from the Beijing Meteorological Observatory and analyzed. Descriptive statistics and a back-propagation artificial neural network were adopted to analyze the data.There were significant correlations between the incidence of tuberculosis and the meteorological factors in the corresponding year and previous years. Among these correlations, wind speed was the factor with the strongest influence on tuberculosis (the standardized significance was 100%). Additionally, all prediction models would successfully established, suggesting the use of a collection of meteorological factors spanning from three years ago to the present is superior to the use of single data.The incidence of tuberculosis in Beijing area is correlated to meteorological factors in the current year and previous years, which verifies the practicality of the theory of five circuits and six qi."
"Predicting the Incidence of Smear Positive Tuberculosis Cases in Iran Using Time Series Analysis.",NA,"2015 Nov","26744711","Determining the temporal variation and forecasting the incidence of smear positive tuberculosis (TB) can play an important role in promoting the TB control program. Its results may be used as a decision-supportive tool for planning and allocating resources. The present study forecasts the incidence of smear positive TB in Iran.This a longitudinal study using monthly tuberculosis incidence data recorded in the Iranian National Tuberculosis Control Program. The sum of registered cases in each month created 84 time points. Time series methods were used for analysis. Based on the residual chart of ACF, PACF, Ljung-Box tests and the lowest levels of AIC and BIC, the most suitable model was selected.From April 2005 until March 2012, 34012 smear positive TB cases were recorded. The mean of TB monthly incidence was 404.9 (SD=54.7). The highest number of cases was registered in May and the difference in monthly incidence of smear positive TB was significant (P<0.001). SARIMA (0,1,1)(0,1,1)12 was selected as the most adequate model for prediction. It was predicted that the incidence of smear positive TB for 2015 will be about 9.8 per 100,000 people.Based on the seasonal pattern of smear positive TB recorded cases, seasonal ARIMA model was suitable for predicting its incidence. Meanwhile, prediction results show an increasing trend of smear positive TB cases in Iran."
"Advances in the diagnosis of tuberculosis: current status and future prospects.","10.5588/ijtld.15.0048","2015 May","25868017","Lack of diagnosis and diagnostic capacity remain barriers to tuberculosis (TB) control. This review describes recent advances in TB diagnostics, the current TB diagnostic landscape, and some of the key challenges in the quest for accurate, simple diagnostic tests that have meaningful impact on the health of individual patients and on TB epidemiology. "
"Predictive factors of death in patients with tuberculosis: a nested case-control study.","10.26719/2015.21.4.287","2015 Jun 9","26077524","Tuberculosis is one of the main causes of death worldwide. This study aimed to determine predictive factors for death in patients with tuberculosis to set priorities for public heath interventions to reduce mortality in these patients. This nested case-control study was carried out in Mazandaran province of Islamic Republic of Iran among tuberculosis patients who were treated during 2002-2009. Each deceased patient was individually matched with a control patient according to sex, age, area of involvement and time of follow-up. Potential risk factors for death were evaluated using multivariate conditional logistic regression models. From 2206 patients 376 cases and 376 matched controls were selected. Only positive serology for HIV (OR = 19.1), history of kidney disease (OR = 6.81) and use of immunosuppressant drugs (OR = 3.96) significantly increased the risk of death in tuberculosis patients. These potentially modifiable risk factors could be taken into account in preventive interventions for tuberculosis patients in our country. "
"Old World tuberculosis: Evidence from human remains with a review of current research and future prospects.","10.1016/j.tube.2015.02.018","2015 Jun","25802030","The evidence for TB in archaeological human remains for the Old World is reviewed in published and some unpublished sources. The evidence of Pott's disease was considered specific for TB, with other bone changes, such as rib lesions, as non-specific. Limitations of the data are discussed. Most evidence for TB comes from skeletons from the northern hemisphere, particularly in Europe in the late Medieval period (12(th)-16th centuries AD), but there is early evidence in the Near/Middle East and Egypt. Many parts of Africa, Asia and Australasia have very little or no evidence. aDNA analysis has provided data on species and strains of the Mycobacterium tuberculosis complex organisms affecting people in the past. The extant data suggest the first epidemiological transition (Neolithic agriculture and permanent settlements) led to an increase in TB, with later increases in urban environments of the late Medieval period. A number of causative factors were at play. Future research, particularly using biomolecular analysis, has the potential to further contribute to our understanding of the origin and evolution of TB, thus merging the disciplines of palaeopathology and evolutionary medicine. Copyright © 2015 Elsevier Ltd. All rights reserved."
"[Up-to-date applicability of interferon-γ release assays for the diagnosis of tuberculosis].","10.1016/S0213-005X(15)30010-0","2015 Jul","26320991","Utility of the in-vitro immunodiagnostic methods, based on the detection of interferon-γ released by T-cells after specific Mycobacterium tuberculosis antigen stimulation (IGRA), has been an improvement in the accuracy of the latent tuberculosis infection diagnosis. IGRA have a well-known higher specificity than the tuberculin skin testing (TST). Moreover, they can obtain a larger number of positive results than the TST in immunocompromised patients. IGRA have shown a high correlation with M. tuberculosis exposure, but their positive and negative predictive value are similar than those obtained by TST. Nevertheless, given their high specificity, they allow reducing number of unnecessary preventive treatments. In addition, these in-vitro techniques are less affected than TST by the different immunosuppressing status. In this review is discussed up-to-date applicability of IGRA in different patient groups: contact studies, pediatric population, immunosuppressed patients, health care workers and active tuberculosis patients. Furthermore, it has been included possible future directions for latent tuberculosis infection and active tuberculosis diagnosis. Copyright © 2015 Elsevier España, S.L.U. All rights reserved."
"TUBERCULOSIS AND BRUCELLOSIS IN WOOD BISON (BISON BISON ATHABASCAE) IN NORTHERN CANADA: A RENEWED NEED TO DEVELOP OPTIONS FOR FUTURE MANAGEMENT.","10.7589/2014-06-167","2015 Jul","25973624","Effective, long-term strategies to manage the threat of bovine tuberculosis and brucellosis spillback from northern, diseased bison to the Canadian cattle herd and adjacent disease-free wood bison (Bison bison athabascae) herds have eluded policy makers in recent decades. A controversial plan to depopulate infected herds and repopulate them with disease-free wood bison was rejected in 1990 because of significant public concern. Since then, technical advances in vaccine technology, genetic salvage, selective culling, and diagnostic test development have occurred. Containment strategies to reduce further spread of these diseases are a necessary first step; recent progress has been made in this area, but challenges remain. This progress has produced more options for management of these herds in northern Canada, and it is time to consider wood bison conservation and long-term disease eradication as equally important goals that must satisfy concerns of conservation groups, agriculture sectors, aboriginal groups, and the general public. Management of wildlife disease reservoirs in other areas, including Yellowstone and Riding Mountain national parks, has demonstrated that effective disease management is possible. Although combinations of different strategies, including vaccination, genetic salvage techniques, and selective culling, that use sensitive and specific diagnostic tests may offer alternatives to depopulation/repopulation, they also have logistic constraints and cost implications that will need consideration in a multistakeholder, collaborative-management framework. We feel the time is right for this discussion, so a long-term solution to this problem can be applied. "
"Gene mutations in Mycobacterium tuberculosis: multidrug-resistant TB as an emerging global public health crisis.","10.1016/j.tube.2014.08.012","2015 Jan","25257261","Against a constant background of established infections, epidemics of new and old infectious diseases periodically emerge, greatly magnifying the global burden of infections. TB poses formidable challenges to the global health at the public health and scientific level by acquiring gene mutation into anti TB drugs specially rifampin and isoniazid which leads resistant to drug regime and treatment forms. Our tools to combat MDR (multidrug resistant) TB are dangerously out of date and ineffective. Besides new tools (TB drugs, vaccines, diagnostics), we also need new strategies to identify key Mycobacterium tuberculosis and human host interaction. It is all equally important that we build up high quality clinical trial capacity and bio banks for TB biomarkers identification. But most important is global commitment at all levels to roll back TB before it expose us again. Rapid development of drug resistance caused by M. tuberculosis has lead to measure resistance accurately and easily. This knowledge will certainly help us to understand how to prevent the occurrence of drug resistance as well as identifying genes associated with new drug resistance. Copyright © 2014 Elsevier Ltd. All rights reserved."
"Potential market for novel tuberculosis diagnostics: worth the investment?","10.1093/infdis/jiu817","2015 Apr 1","25765107","The potential available market (PAM) for new diagnostics for tuberculosis that meet the specifications of the high-priority target product profiles (TPPs) is currently unknown.We estimated the PAM in 2020 in 4 high-burden countries (South Africa, Brazil, China, and India) for tests that meet the specifications outlined in the TPPs. The yearly PAM was estimated for the most likely application of each TPP.In 2020 the PAM for all 4 countries together was estimated to be (1) 12M tests/year with a value of 48M-71M USD for a sputum smear-replacement test; (2) 16M tests/year with a value of 65M-97M USD for a biomarker test; (3) 18M tests/year with a value of 18M-35M USD for a triage test; (4) 12M tests/year with a value of 59M-2238M USD for a tuberculosis detection plus drug susceptibility test (DST) all-in-one or 1.5M tests/year for a DST that follows a positive tuberculosis detection test with a corresponding value of 75M-121M for both tuberculosis detection and DST.Although there is a considerable potential market for novel tuberculosis diagnostics that fit the specification of the TPPs in the 4 high-burden countries, the actual market for an individual product remains uncertain.© The Author 2014. Published by Oxford University Press on behalf of the Infectious Diseases Society of America. All rights reserved. For Permissions, please e-mail: journals.permissions@oup.com."
"THE ROLE OF MEDICAL AND SOCIAL FACTORS IN PREDICTING DISABILITY TUBERCULOSIS.",NA,"2015","26887134","In persisting study are considered social, epydemiological and clinical features by sick tuberculosis lungs with for the first time installed by disability. On the grounds of got result are revealled main criteria of the forecasting to disability on tuberculosis lungs. Disability of pulmonary tuberculosis is an important medical and social problem and is dependent on the social and clinical factors. The study of disability reveals the main reasons for poor prognosis in tuberculosis, which leads to a more chronic course with frequent exacerbations and relapses. In Russia, the dynamics of disability for tuberculosis does not tend to decrease. Unfavorable epidemiological disability tuberculosis remains high in the structure of the primary disability in Yakutsk and Sakha (Yakutia) (2.8%, 2.5% - respectively)."
"Mathematical Modelling and Tuberculosis: Advances in Diagnostics and Novel Therapies.","10.1155/2015/907267","2015","26556559","As novel diagnostics, therapies, and algorithms are developed to improve case finding, diagnosis, and clinical management of patients with TB, policymakers must make difficult decisions and choose among multiple new technologies while operating under heavy resource constrained settings. Mathematical modelling can provide helpful insight by describing the types of interventions likely to maximize impact on the population level and highlighting those gaps in our current knowledge that are most important for making such assessments. This review discusses the major contributions of TB transmission models in general, namely, the ability to improve our understanding of the epidemiology of TB. We focus particularly on those elements that are important to appropriately understand the role of TB diagnosis and treatment (i.e., what elements of better diagnosis or treatment are likely to have greatest population-level impact) and yet remain poorly understood at present. It is essential for modellers, decision-makers, and epidemiologists alike to recognize these outstanding gaps in knowledge and understand their potential influence on model projections that may guide critical policy choices (e.g., investment and scale-up decisions). "
